model,uncertainty_type,dataset,unlabeled_size,auroc
qwen,maximumsequenceprobability,trivia_qa,2400,
qwen,maximumsequenceprobability,trivia_qa,2500,
qwen,maximumsequenceprobability,trivia_qa,2600,
qwen,maximumsequenceprobability,trivia_qa,2700,
qwen,maximumsequenceprobability,trivia_qa,2800,
qwen,maximumsequenceprobability,trivia_qa,2900,
qwen,maximumsequenceprobability,trivia_qa,3000,
qwen,maximumsequenceprobability,trivia_qa,3100,
qwen,lexicalsimilarity,trivia_qa,100,
qwen,lexicalsimilarity,trivia_qa,200,
qwen,lexicalsimilarity,trivia_qa,300,
qwen,lexicalsimilarity,trivia_qa,400,
qwen,lexicalsimilarity,trivia_qa,500,
qwen,lexicalsimilarity,trivia_qa,600,
qwen,lexicalsimilarity,trivia_qa,700,
qwen,lexicalsimilarity,trivia_qa,800,
qwen,lexicalsimilarity,trivia_qa,900,
qwen,lexicalsimilarity,trivia_qa,1000,
qwen,lexicalsimilarity,trivia_qa,1100,
qwen,lexicalsimilarity,trivia_qa,1200,
qwen,lexicalsimilarity,trivia_qa,1300,
qwen,lexicalsimilarity,trivia_qa,1400,
qwen,lexicalsimilarity,trivia_qa,1500,
qwen,lexicalsimilarity,trivia_qa,1600,
qwen,lexicalsimilarity,trivia_qa,1700,
qwen,lexicalsimilarity,trivia_qa,1800,
qwen,lexicalsimilarity,trivia_qa,1900,
qwen,lexicalsimilarity,trivia_qa,2000,
qwen,lexicalsimilarity,trivia_qa,2100,
qwen,lexicalsimilarity,trivia_qa,2200,
qwen,lexicalsimilarity,trivia_qa,2300,
qwen,lexicalsimilarity,trivia_qa,2400,
qwen,lexicalsimilarity,trivia_qa,2500,
qwen,lexicalsimilarity,trivia_qa,2600,
qwen,lexicalsimilarity,trivia_qa,2700,
qwen,lexicalsimilarity,trivia_qa,2800,
qwen,lexicalsimilarity,trivia_qa,2900,
qwen,lexicalsimilarity,trivia_qa,3000,
qwen,lexicalsimilarity,trivia_qa,3100,
qwen,montecarlosequenceentropy,trivia_qa,100,
qwen,montecarlosequenceentropy,trivia_qa,200,
qwen,montecarlosequenceentropy,trivia_qa,300,
qwen,montecarlosequenceentropy,trivia_qa,400,
qwen,montecarlosequenceentropy,trivia_qa,500,
qwen,montecarlosequenceentropy,trivia_qa,600,
qwen,montecarlosequenceentropy,trivia_qa,700,
qwen,montecarlosequenceentropy,trivia_qa,800,
qwen,montecarlosequenceentropy,trivia_qa,900,
qwen,montecarlosequenceentropy,trivia_qa,1000,
qwen,montecarlosequenceentropy,trivia_qa,1100,
qwen,montecarlosequenceentropy,trivia_qa,1200,
qwen,montecarlosequenceentropy,trivia_qa,1300,
qwen,montecarlosequenceentropy,trivia_qa,1400,
qwen,montecarlosequenceentropy,trivia_qa,1500,
qwen,montecarlosequenceentropy,trivia_qa,1600,
qwen,montecarlosequenceentropy,trivia_qa,1700,
qwen,montecarlosequenceentropy,trivia_qa,1800,
qwen,montecarlosequenceentropy,trivia_qa,1900,
qwen,montecarlosequenceentropy,trivia_qa,2000,
qwen,montecarlosequenceentropy,trivia_qa,2100,
qwen,montecarlosequenceentropy,trivia_qa,2200,
qwen,montecarlosequenceentropy,trivia_qa,2300,
qwen,montecarlosequenceentropy,trivia_qa,2400,
qwen,montecarlosequenceentropy,trivia_qa,2500,
qwen,montecarlosequenceentropy,trivia_qa,2600,
qwen,montecarlosequenceentropy,trivia_qa,2700,
qwen,montecarlosequenceentropy,trivia_qa,2800,
qwen,montecarlosequenceentropy,trivia_qa,2900,
qwen,montecarlosequenceentropy,trivia_qa,3000,
qwen,montecarlosequenceentropy,trivia_qa,3100,
